mse_test,mae_test,mape_test,Model
557617.1213211385,264.47642276422766,0.15930825692867523,DT
665059.6220448376,352.804400074473,0.3217045792290421,DT10
495874.940497087,237.1049390243903,0.13549476343750524,DT15
557617.1213211385,264.47642276422766,0.15930825692867523,DT20
557617.1213211385,264.47642276422766,0.15930825692867523,DT25
557617.1213211385,264.47642276422766,0.15930825692867523,DT30
5527564.008053046,1082.9448893954598,2.4609551847441744,DT5
1470862.5151444122,452.4446978803717,0.38366920912719554,RF10
1609105.973312596,436.6977945654283,0.33868219760095614,RF100
1587837.2498863137,437.95342495806,0.3357574210038665,RF150
1664909.4900487976,444.64216063201746,0.3313111032375741,RF200
1471222.5272898416,444.3909784165697,0.386918549067913,RF25
1628123.4157996261,442.26521516082676,0.3259301734359176,RF300
1582060.8375160806,441.74511685056126,0.3582362520647339,RF50
